frequency,monetary,last_order_date,recency,review_score,cluster
1,115.36000000000001,2018-01-17 18:36:41,272,5.0,0
1,155.44,2017-10-31 17:54:25,350,5.0,0
1,73.34,2017-10-20 18:33:27,361,4.0,0
1,47.84,2017-12-10 15:27:40,311,4.0,0
1,153.1,2017-05-03 11:24:08,532,4.0,4
1,36.69,2017-11-28 22:03:07,322,5.0,0
1,82.61,2017-07-25 23:08:43,448,5.0,4
1,48.01,2017-08-20 18:59:30,422,5.0,4
1,43.53,2017-10-01 14:58:35,381,4.0,0
1,321.58,2017-11-19 21:17:05,331,5.0,0
1,355.08,2017-07-16 11:48:22,458,1.0,2
1,271.43,2017-08-08 18:35:02,434,4.0,2
1,70.82,2017-07-18 19:49:49,455,5.0,4
1,50.53,2018-01-01 22:12:41,288,5.0,0
1,158.8,2018-07-23 17:03:40,86,5.0,0
1,64.17,2018-02-26 20:32:26,232,5.0,0
1,122.69,2018-04-18 14:29:17,182,4.0,0
1,77.72,2017-08-09 16:19:43,434,4.0,0
1,1272.76,2018-04-21 13:32:20,179,5.0,1
1,127.86000000000001,2016-10-06 12:22:07,741,4.0,4
1,78.91,2017-04-07 13:27:27,558,4.0,4
1,140.07999999999998,2017-10-03 12:44:33,379,4.0,0
1,568.61,2017-02-07 17:03:30,617,4.0,1
1,109.73,2018-08-24 17:53:18,53,3.0,0
1,70.72,2017-09-27 18:16:33,384,5.0,0
1,202.15,2018-05-30 13:42:45,140,2.0,2
1,114.36,2018-05-31 10:27:56,139,5.0,0
1,79.24,2018-06-27 19:21:26,111,5.0,0
1,306.79,2018-02-04 10:12:29,255,5.0,0
1,623.68,2018-02-12 17:14:14,247,5.0,1
1,216.07,2017-09-07 13:44:33,405,5.0,4
1,64.03,2018-05-02 21:56:21,167,4.0,0
1,0.0,2018-05-21 13:48:16,149,2.0,2
1,56.69,2017-05-16 18:26:57,518,5.0,4
1,158.07,2018-06-27 00:55:41,112,5.0,0
1,86.93,2018-05-09 09:52:59,161,4.0,0
1,96.16,2018-07-04 12:34:13,105,5.0,0
1,107.10000000000001,2018-02-14 14:37:42,245,1.0,2
1,50.0,2017-10-10 19:07:55,371,1.0,2
1,88.19999999999999,2017-03-06 14:16:20,590,1.0,2
1,28.09,2017-11-24 15:52:35,327,5.0,0
1,254.09,2017-04-26 10:38:41,539,3.0,2
1,87.17,2017-08-28 09:18:28,415,4.0,0
1,286.17,2018-06-11 21:14:29,127,3.0,0
1,3256.14,2018-06-07 13:53:52,132,1.0,1
1,128.5,2018-05-19 23:33:33,150,1.0,2
1,131.62,2018-03-28 14:17:43,203,5.0,0
1,387.8,2017-06-17 14:39:09,487,4.0,2
1,41.14,2018-01-15 09:47:18,275,5.0,0
1,48.01,2017-06-21 13:13:52,483,5.0,4
1,81.51,2018-07-26 10:10:10,83,3.0,0
1,29.09,2018-01-02 10:49:29,288,5.0,0
1,228.16,2018-04-20 16:08:37,180,5.0,0
1,197.58,2018-08-20 12:24:40,58,3.0,0
1,95.58,2016-10-05 07:31:49,742,1.0,2
1,86.02000000000001,2018-01-05 20:02:56,284,5.0,0
1,35.839999999999996,2018-07-03 21:55:37,105,5.0,0
1,126.92,2017-06-24 00:58:39,480,1.0,2
1,33.86,2017-04-01 19:53:54,563,1.0,2
1,88.54,2018-07-16 12:01:52,93,5.0,0
1,63.1,2018-01-06 22:47:57,283,3.0,0
1,75.22,2018-04-05 13:50:28,195,4.0,0
3,622.56,2018-07-24 20:45:16,84,4.666666666666667,3
